Period,Category,Item,total_units,total_revenue,revenue_per_unit
MAR,Starters,Fried Shrimp,45,540.0,12.0
MAR,The Backyard Bites,Regular Poutine,2,24.0,12.0
MAR,Starters,Caesar Salad,30,330.0,11.0
MAR,Drinks,Milkshakes,79,851.0,10.0
MAR,Drinks,Mocktails,139,1413.0,10.0
MAR,Desserts,Sweet Cornbread,6,54.0,9.0
MAR,Starters,Mac & Cheese,109,981.0,9.0
MAR,Starters,Mushroom Soup,37,333.0,9.0
MAR,Starters,Smoked Corn,21,189.0,9.0
MAR,Starters,Mashed Potatoes,24,192.0,8.0
MAR,Drinks,Blackberry Pineapple Lemonade,75,525.0,7.0
MAR,Drinks,Mango Strawberry Lemonade,205,1435.0,7.0
MAR,Drinks,Mint Lemonade,96,672.0,7.0
MAR,Starters,Baked Beans,18,126.0,7.0
MAR,Starters,Fried Pickles,21,147.0,7.0
MAR,Starters,Creamy Coleslaw,20,120.0,6.0
MAR,Starters,Macaroni Salad,5,30.0,6.0
MAR,Starters,Sweet Potato Fries,32,192.0,6.0
MAR,Guilty Pleasures,Baby Roasted Potatoes,19,95.0,5.0
MAR,Guilty Pleasures,Corn Bread,55,275.0,5.0
MAR,Guilty Pleasures,Mushroom Confit,21,105.0,5.0
MAR,Starters,Curly Fries,69,345.0,5.0
MAR,Starters,Rice,13,65.0,5.0
MAR,Drinks,Canada Dry,72,311.5,4.33
MAR,Drinks,Diet Coke,147,626.5,4.26
MAR,Desserts,Ice Cream,14,56.0,4.0
MAR,Drinks,Barbican,30,135.0,4.0
MAR,Drinks,Carbonated Water,27,108.0,4.0
MAR,Drinks,Coke,232,959.0,4.0
MAR,Drinks,Coke Zero,126,521.0,4.0
MAR,Guilty Pleasures,Garlic Bread,25,100.0,4.0
MAR,Starters,Hand Cut Fries,43,172.0,4.0
MAR,Drinks,7 Up,49,185.5,3.79
MAR,Drinks,Crush,19,66.5,3.5
MAR,Sauces,Cheese Sauce,7,14.0,2.0
MAR,Sauces,Gravy,11,22.0,2.0
MAR,Sauces,BBQ Sauce,20,20.0,1.0
MAR,Sauces,BKYD Sauce,12,12.0,1.0
MAR,Sauces,Chipotle Mayo,25,25.0,1.0
MAR,Sauces,Garlic Mayo,18,18.0,1.0
MAR,Sauces,Gold Sauce,4,4.0,1.0
MAR,Sauces,Honey,4,4.0,1.0
MAR,Sauces,Hot Sauce,10,10.0,1.0
